despesa_id,data_despesa,departamento,rubrica,fornecedor,valor,estado,centro_custo
D000001,2024-02-07,DMAT,Pessoal,IberTravel,4049.83,Pago,CC-DMAT-12
D000002,2024-12-09,DEP,Equipamento,GreenEnergy,24793.13,Pago,CC-DEP-07
D000003,2026-02-05,DF,Viagens,Global Office,826.55,Pago,CC-DF-06
D000004,2025-09-14,DF,Investigação,PrintWay,2736.25,Pago,CC-DF-08
D000005,2024-09-12,DQ,Pessoal,DataCloud,15657.44,Pago,CC-DQ-06
D000006,2024-10-16,DMAT,Manutenção,GreenEnergy,5214.48,Pago,CC-DMAT-09
D000007,2026-02-01,DBIO,Equipamento,DataCloud,53074.67,Pago,CC-DBIO-12
D000008,2024-07-03,DBIO,Serviços Externos,GreenEnergy,12289.25,Pago,CC-DBIO-08
D000009,2024-09-03,DF,Viagens,DataCloud,11573.64,Pago,CC-DF-11
D000010,2025-11-11,DF,Investigação,Campus Services,9389.52,Pago,CC-DF-09
D000011,2025-09-09,DEGEIT,Viagens,Campus Services,8268.52,Pago,CC-DEGEIT-12
D000012,2025-09-28,DF,Infraestruturas,Global Office,58587.34,Pago,CC-DF-06
D000013,2025-01-22,DF,Pessoal,GreenEnergy,6924.4,Pago,CC-DF-06
D000014,2024-02-25,DQ,Manutenção,Global Office,6707.63,Pago,CC-DQ-10
D000015,2024-05-02,DF,Manutenção,GreenEnergy,15634.25,Pago,CC-DF-03
D000016,2025-09-22,DETI,Equipamento,TechVision,48085.97,Pago,CC-DETI-10
D000017,2024-12-04,DCM,Pessoal,PrintWay,16025.69,Pago,CC-DCM-12
D000018,2024-06-01,DLC,Equipamento,MedSupply,7524.14,Pago,CC-DLC-10
D000019,2024-11-05,DQ,Viagens,EduSoft,2663.18,Pago,CC-DQ-10
D000020,2025-02-25,DETI,Serviços Externos,EduSoft,5082.94,Pago,CC-DETI-02
D000021,2025-10-11,DETI,Investigação,Global Office,18208.21,Pago,CC-DETI-02
D000022,2025-01-27,DEGEIT,Viagens,MedSupply,15289.5,Pendente,CC-DEGEIT-06
D000023,2024-03-18,DMAT,Serviços Externos,TechVision,3742.31,Pendente,CC-DMAT-08
D000024,2025-12-16,DF,Investigação,MedSupply,8114.04,Pago,CC-DF-10
D000025,2024-11-05,DETI,Manutenção,Campus Services,8975.9,Pago,CC-DETI-11
D000026,2024-11-29,DMAT,Manutenção,Campus Services,2791.09,Pago,CC-DMAT-07
D000027,2024-11-08,DQ,Serviços Externos,GreenEnergy,1615.1,Pago,CC-DQ-07
D000028,2025-02-23,DGEO,Manutenção,IberTravel,10437.52,Pago,CC-DGEO-02
D000029,2025-04-10,DCM,Infraestruturas,TechVision,61384.34,Pago,CC-DCM-02
D000030,2025-01-11,DETI,Equipamento,DataCloud,32091.09,Pendente,CC-DETI-07
D000031,2024-12-14,DLC,Viagens,LabInstruments,5549.85,Pendente,CC-DLC-11
