inscricao_id,aluno_id,uc_id,semestre,ano_letivo,nota_final,resultado,epoca
I0000001,A00001,PROJ,1,2024/2025,12,Aprovado,Normal
I0000002,A00001,GENE,2,2024/2025,4,Reprovado,Recurso
I0000003,A00001,EDUC,1,2024/2025,18,Aprovado,Normal
I0000004,A00001,CONT,1,2024/2025,12,Aprovado,Normal
I0000005,A00001,ALGA,1,2024/2025,10,Aprovado,Especial
I0000006,A00001,SEMI,2,2024/2025,12,Aprovado,Recurso
I0000007,A00001,DSCI,2,2025/2026,0,Reprovado,Normal
I0000008,A00001,TRAD,2,2024/2025,20,Aprovado,Recurso
I0000009,A00001,MKTG,2,2024/2025,18,Aprovado,Recurso
I0000010,A00001,MLAB,1,2025/2026,13,Aprovado,Normal
I0000011,A00001,BIAR,2,2024/2025,6,Reprovado,Recurso
I0000012,A00001,REDES,1,2025/2026,18,Aprovado,Normal
I0000013,A00001,ANAC,1,2024/2025,14,Aprovado,Recurso
I0000014,A00001,FIS1,1,2024/2025,,Não avaliado,Normal
I0000015,A00002,PSIC,2,2022/2023,19,Aprovado,Normal
I0000016,A00002,FINA,1,2023/2024,,Não avaliado,Normal
I0000017,A00002,PROJ,1,2024/2025,17,Aprovado,Normal
I0000018,A00002,FIS1,1,2022/2023,17,Aprovado,Normal
I0000019,A00002,DWHS,1,2023/2024,13,Aprovado,Recurso
I0000020,A00002,BIAR,2,2023/2024,4,Reprovado,Normal
I0000021,A00002,SOFT,2,2023/2024,11,Aprovado,Recurso
I0000022,A00002,ANAC,1,2023/2024,,Não avaliado,Normal
I0000023,A00002,BDAD,1,2025/2026,19,Aprovado,Normal
I0000024,A00002,DSCI,2,2024/2025,,Não avaliado,Normal
I0000025,A00002,MICR,1,2023/2024,1,Reprovado,Normal
I0000026,A00002,TRAD,2,2023/2024,15,Aprovado,Normal
I0000027,A00002,SEMI,1,2023/2024,20,Aprovado,Normal
I0000028,A00002,SINA,1,2023/2024,17,Aprovado,Normal
I0000029,A00003,MACR,1,2024/2025,13,Aprovado,Normal
I0000030,A00003,ING1,2,2025/2026,8,Reprovado,Recurso
I0000031,A00003,FIS1,1,2024/2025,18,Aprovado,Normal
I0000032,A00003,SOFT,2,2024/2025,16,Aprovado,Recurso
I0000033,A00003,MKTG,1,2024/2025,,Não avaliado,Recurso
I0000034,A00003,ESTA,2,2025/2026,19,Aprovado,Especial
I0000035,A00003,DSCI,2,2024/2025,18,Aprovado,Normal
I0000036,A00003,SEMI,2,2025/2026,18,Aprovado,Normal
I0000037,A00003,DWHS,1,2025/2026,8,Reprovado,Normal
I0000038,A00004,ESTA,2,2022/2023,,Não avaliado,Recurso
I0000039,A00004,BIAR,2,2025/2026,1,Reprovado,Recurso
I0000040,A00004,TRAD,1,2023/2024,12,Aprovado,Normal
I0000041,A00004,SOFT,1,2022/2023,8,Reprovado,Normal
I0000042,A00004,PSIC,2,2025/2026,14,Aprovado,Normal
I0000043,A00004,REDES,2,2024/2025,14,Aprovado,Recurso
I0000044,A00004,ALGA,1,2025/2026,12,Aprovado,Recurso
I0000045,A00004,BIOC,2,2021/2022,19,Aprovado,Normal
I0000046,A00004,MACR,1,2024/2025,9,Reprovado,Normal
I0000047,A00004,ESTG,2,2023/2024,17,Aprovado,Normal
I0000048,A00004,PROJ,2,2023/2024,15,Aprovado,Recurso
I0000049,A00004,DWHS,2,2020/2021,12,Aprovado,Normal
I0000050,A00004,MLAB,1,2022/2023,13,Aprovado,Normal
I0000051,A00005,QUIM,1,2024/2025,17,Aprovado,Normal
I0000052,A00005,MICR,2,2024/2025,0,Reprovado,Normal
I0000053,A00005,ESTG,1,2024/2025,20,Aprovado,Normal
I0000054,A00005,MKTG,2,2025/2026,20,Aprovado,Recurso
I0000055,A00005,MLAB,2,2024/2025,,Não avaliado,Recurso
I0000056,A00005,SINA,2,2025/2026,18,Aprovado,Normal
I0000057,A00006,QUIM,2,2021/2022,2,Reprovado,Recurso
I0000058,A00006,FINA,1,2021/2022,,Não avaliado,Recurso
I0000059,A00006,MICR,1,2024/2025,19,Aprovado,Normal
I0000060,A00006,ING1,2,2021/2022,13,Aprovado,Normal
I0000061,A00006,REDES,2,2024/2025,14,Aprovado,Normal
I0000062,A00006,SINA,2,2022/2023,17,Aprovado,Normal
I0000063,A00006,MACR,2,2024/2025,16,Aprovado,Recurso
I0000064,A00006,EDUC,2,2021/2022,3,Reprovado,Recurso
I0000065,A00007,FIS1,2,2024/2025,11,Aprovado,Recurso
I0000066,A00007,ANAC,1,2023/2024,12,Aprovado,Normal
I0000067,A00007,DWHS,2,2021/2022,17,Aprovado,Normal
I0000068,A00007,MACR,1,2022/2023,2,Reprovado,Normal
I0000069,A00007,EDUC,2,2022/2023,3,Reprovado,Normal
I0000070,A00007,PROG,2,2023/2024,10,Aprovado,Normal
I0000071,A00007,TRAD,2,2022/2023,6,Reprovado,Recurso
I0000072,A00007,FINA,2,2021/2022,10,Aprovado,Normal
