ria_id,titulo,tipo_publicacao,departamento,data_publicacao,ano_publicacao,autores_numero,downloads,citacoes,licenca_acesso
RIA00001,Publicação Científica 0001,Dissertação,DETI,2021-01-25,2021,3,5018,106,Open Access
RIA00002,Publicação Científica 0002,Dissertação,DETI,2025-11-22,2025,4,2650,341,Open Access
RIA00003,Publicação Científica 0003,Artigo,DEGEIT,2022-10-09,2022,9,5590,27,Restrito
RIA00004,Publicação Científica 0004,Artigo,DBIO,2020-05-29,2020,1,241,89,Open Access
RIA00005,Publicação Científica 0005,Relatório,DEP,2023-03-08,2023,9,7932,310,Restrito
RIA00006,Publicação Científica 0006,Dissertação,DF,2020-11-19,2020,9,1502,447,Restrito
RIA00007,Publicação Científica 0007,Tese,DBIO,2022-03-06,2022,2,7989,64,Embargado
RIA00008,Publicação Científica 0008,Tese,DBIO,2024-10-24,2024,8,8669,319,Open Access
RIA00009,Publicação Científica 0009,Dissertação,DGEO,2018-01-10,2018,7,11884,219,Open Access
RIA00010,Publicação Científica 0010,Capítulo,DF,2025-05-02,2025,8,8084,255,Open Access
RIA00011,Publicação Científica 0011,Dissertação,DMAT,2024-07-17,2024,6,5316,43,Embargado
RIA00012,Publicação Científica 0012,Artigo,DETI,2018-04-26,2018,7,4017,395,Embargado
RIA00013,Publicação Científica 0013,Tese,DQ,2025-08-06,2025,2,7430,121,Embargado
RIA00014,Publicação Científica 0014,Capítulo,DETI,2025-03-23,2025,3,6570,226,Embargado
RIA00015,Publicação Científica 0015,Artigo,DEGEIT,2022-09-25,2022,2,6937,141,Restrito
RIA00016,Publicação Científica 0016,Dissertação,DLC,2021-02-23,2021,4,4768,427,Open Access
RIA00017,Publicação Científica 0017,Artigo,DLC,2022-04-07,2022,5,10666,253,Restrito
RIA00018,Publicação Científica 0018,Artigo,DQ,2019-12-06,2019,7,2839,37,Embargado
RIA00019,Publicação Científica 0019,Tese,DLC,2023-07-22,2023,8,8612,144,Open Access
RIA00020,Publicação Científica 0020,Artigo,DQ,2018-11-17,2018,6,9849,257,Restrito
RIA00021,Publicação Científica 0021,Tese,DQ,2021-12-20,2021,4,10261,159,Embargado
RIA00022,Publicação Científica 0022,Dissertação,DGEO,2019-02-25,2019,8,6184,301,Open Access
RIA00023,Publicação Científica 0023,Artigo,DLC,2020-08-30,2020,1,9523,120,Embargado
RIA00024,Publicação Científica 0024,Artigo,DMAT,2025-10-22,2025,7,8875,434,Embargado
RIA00025,Publicação Científica 0025,Artigo,DMAT,2023-10-30,2023,9,5878,183,Open Access
RIA00026,Publicação Científica 0026,Artigo,DQ,2021-11-23,2021,8,9275,3,Open Access
RIA00027,Publicação Científica 0027,Artigo,DEP,2020-12-09,2020,4,11088,338,Embargado
RIA00028,Publicação Científica 0028,Artigo,DEP,2023-01-04,2023,8,1396,354,Open Access
RIA00029,Publicação Científica 0029,Artigo,DBIO,2020-12-16,2020,6,11542,342,Restrito
RIA00030,Publicação Científica 0030,Artigo,DCM,2019-07-13,2019,5,4219,123,Embargado
RIA00031,Publicação Científica 0031,Capítulo,DBIO,2025-12-27,2025,1,5694,360,Open Access
RIA00032,Publicação Científica 0032,Artigo,DMAT,2025-07-21,2025,4,9270,328,Embargado
RIA00033,Publicação Científica 0033,Dissertação,DLC,2019-12-28,2019,7,9526,404,Open Access
RIA00034,Publicação Científica 0034,Artigo,DQ,2022-12-28,2022,6,8563,390,Restrito
RIA00035,Publicação Científica 0035,Artigo,DETI,2023-07-29,2023,8,489,350,Open Access
RIA00036,Publicação Científica 0036,Artigo,DLC,2018-08-08,2018,7,4247,180,Embargado
RIA00037,Publicação Científica 0037,Artigo,DGEO,2018-10-01,2018,2,7910,147,Embargado
RIA00038,Publicação Científica 0038,Artigo,DQ,2019-03-25,2019,3,8995,217,Embargado
RIA00039,Publicação Científica 0039,Relatório,DEP,2026-03-22,2026,5,7862,141,Embargado
RIA00040,Publicação Científica 0040,Artigo,DCM,2023-11-17,2023,7,4808,161,Open Access
RIA00041,Publicação Científica 0041,Capítulo,DBIO,2019-05-28,2019,8,5010,31,Open Access
RIA00042,Publicação Científica 0042,Capítulo,DF,2023-03-22,2023,1,1478,155,Restrito
RIA00043,Publicação Científica 0043,Artigo,DBIO,2023-09-12,2023,1,6380,256,Embargado
RIA00044,Publicação Científica 0044,Artigo,DEP,2023-12-25,2023,9,11010,250,Restrito
RIA00045,Publicação Científica 0045,Artigo,DBIO,2024-02-07,2024,7,5718,176,Restrito
RIA00046,Publicação Científica 0046,Artigo,DCM,2023-12-22,2023,6,8841,11,Embargado
RIA00047,Publicação Científica 0047,Tese,DEP,2025-10-12,2025,6,2981,49,Open Access
RIA00048,Publicação Científica 0048,Artigo,DETI,2023-07-10,2023,6,104,257,Restrito
RIA00049,Publicação Científica 0049,Tese,DCM,2018-06-20,2018,3,4445,92,Open Access
RIA00050,Publicação Científica 0050,Tese,DMAT,2025-07-21,2025,6,10145,199,Embargado
RIA00051,Publicação Científica 0051,Capítulo,DEP,2018-06-01,2018,2,2719,31,Restrito
RIA00052,Publicação Científica 0052,Relatório,DF,2024-04-05,2024,5,6948,106,Open Access
RIA00053,Publicação Científica 0053,Artigo,DBIO,2019-06-29,2019,5,8941,215,Restrito
RIA00054,Publicação Científica 0054,Artigo,DMAT,2021-10-10,2021,3,9986,240,Open Access
